Timestamp,Company Name,Position Title,Position Type,Location,Base Salary,Salary Frequency,Housing Stipend,Signing Bonus,Stock Bonuses/Benefits,Stock Vesting Schedule Details,Additional Benefits,Did You Negotiate the Offer?,Did You Accept the Offer?,Time Frame From First Interview Invitation to Offer in Weeks,Sex,Degree Level,Last Year of College,Last School Attended,Major,Additional Information,Monthly Salary,Annualized Salary,Bonuses per Year,Annualized Recurring Renumeration (inc. stock),Recurring Renumeration per Month,Total First Year Annualized Renumeration(including Signon & Relocation)
11/27/2015 18:46:55,Airbnb,,Intern,SF,40,Per Hour,4000,,,,,No,,7,Female,Bachelors,Sophomore,,CS,,"$6,933","$83,200","$48,000","$131,200","$10,933","$131,200"
11/25/2015 14:25:29,Amazon,,Intern,"Boston, MA","$6,000",Per Month,"$3,000",,,,,No,No,7,Male,Bachelors,Junior,MA,Computer Science,Informed that I would be placed on the EC2 team at the time an offer was made.,"$6,000","$72,000","$36,000","$108,000","$9,000","$108,000"
11/25/2015 14:27:27,Amazon,,Intern,"Seattle, WA","$6,200",Per Month,"$2,500",,,,,No,No,,Male,Bachelors,Freshman,,,,"$6,200","$74,400","$30,000","$104,400","$8,700","$104,400"
11/25/2015 17:27:16,Amazon,New grad SWE,Full Time,"Seattle, WA","$90,000",Annually,,10000,50000,,,No,No,,Female,Bachelors,Senior,South east state school,CS,,"$7,500","$90,000","$12,500","$102,500","$8,542","$112,500"
11/26/2015 0:04:56,Amazon,Software Development Engineer,Full Time,Seattle,"$95,000",Annually,,47000,53000,4 years vesting schedule,,No,Yes,,Male,Bachelors,,Canadian School,Software Engineering,,"$7,917","$95,000","$13,250","$108,250","$9,021","$155,250"
11/25/2015 21:21:28,Apple,SWE intern,Intern,Sunnyvale,"$6,400",Per Month,,,,,Free corporate housing,Yes,Still considering,3,Female,Bachelors,Junior,Berkeley,,,"$6,400","$76,800",$0,"$76,800","$6,400","$76,800"
11/27/2015 18:53:11,Apple,Software Engineer,Full Time,"Cupertino, CA",112000,Annually,,25000,100000,,"45 days corporate housing, full relocation + $9k, discounted Apple products.",Yes,Yes,3,Male,Bachelors,Super Senior,East coast state school,Computer Science,2 phone interviews + onsite. iTunes division team.,"$9,333","$112,000","$25,000","$137,000","$11,417","$162,000"
11/25/2015 14:26:42,Axilera,,Full Time,Santa Clara,"$7,000",Per Month,$0,$0,$0,0,,No,Yes,1,Male,High School,Didn't attend college,,,,"$7,000","$84,000",$0,"$84,000","$7,000","$84,000"
11/25/2015 15:49:50,Bank of America,Software Dev,Intern,NYC,$15,Per Hour,$0,$0,$0,0,,Yes,Yes,6,Female,High School,Finished junior year of high school,Prestigious SF Bay Area High School,Computer Science at Community College,8 week internship,"$2,600","$31,200",$0,"$31,200","$2,600","$31,200"
11/25/2015 15:04:50,Bloomberg,Industrial Placement,Intern,"London, UK","$53,000",Annually,"$3,000",,,,Free lunch,No,Still considering,,Male,Bachelors,Graduate,,,,"$4,417","$53,000","$36,000","$89,000","$7,417","$89,000"
